1024	313	313	0.000697976201387
1056	198	198	0.219155299548
1088	4763	2612	2.27680924167
1120	3654	3654	0.000526102327633
1152	198	198	0.0217738316733
1184	21	21	0.00831270678459
1216	262	262	0.000293119043803
1248	283	283	0.0125177176452
1280	492	492	0.00016462704523
1312	198	198	0.242767666413
1344	23	2721	4.84604116801
1376	68572	68572	0.00795012422252
1408	713	713	1.04322050181
1440	14	14	0.0457656411298
1472	20	15	1.39327492909
1504	309	309	0.000592156064759
1536	333	333	7.91583304398e-05
1568	374	374	0.00172293083349
1600	1174	1174	0.00353938282601
1632	1262	1044	5.50676354531
1664	198	198	0.00289917756601
1696	8	8	0.000277155731119
1728	285	285	0.0012067613696
1760	8386	8386	0.000103669755863
1792	15	15	0.000701602081524
1824	471	471	0.0549617216068
1856	713	713	0.207890175704
1888	36346	36346	0.000197546504644
1920	36346	36346	0.0134229677841
1952	20	20	0.102904974903
1984	198	198	0.00194894239021
2016	593	593	0.00104456519014
